ThumbNr,ch_1_Area,ch_1_Eccentricity,ch_1_Perimeter,ch_1_MeanIntensity,ch_1_MaxIntensity,ch_1_StandardDeviation,ch_1_Mass,ch_1_P2A,ch_2_Area,ch_2_Eccentricity,ch_2_Perimeter,ch_2_MeanIntensity,ch_2_MaxIntensity,ch_2_StandardDeviation,ch_2_Mass,ch_2_P2A,ch_3_Area,ch_3_Eccentricity,ch_3_Perimeter,ch_3_MeanIntensity,ch_3_MaxIntensity,ch_3_StandardDeviation,ch_3_Mass,ch_3_P2A,ch_4_Area,ch_4_Eccentricity,ch_4_Perimeter,ch_4_MeanIntensity,ch_4_MaxIntensity,ch_4_StandardDeviation,ch_4_Mass,ch_4_P2A,Overlay_ch_1_ch_1,Overlay_ch_2_ch_1,Overlay_ch_2_ch_2,Overlay_ch_3_ch_1,Overlay_ch_3_ch_2,Overlay_ch_3_ch_3,Overlay_ch_4_ch_1,Overlay_ch_4_ch_2,Overlay_ch_4_ch_3,Overlay_ch_4_ch_4
63,86,0.819677786085537,32.403,26.7441860465116,41,7.16065400646293,2300,0.971543222171393,89,0.709777554381537,16.929,47.1348314606742,92,13.3239284160934,4195,0.256249330455068,581,0.627124117448366,85.183,2074.06540447504,4024,1634.73206257311,1205032,0.993847765971103,62,0.734918689398094,27.614,34.9032258064516,51,6.605287691627,2164,0.978716899871552,86,18,89,86,89,581,39,37,62,62
64,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,168,0.542001768282051,43.154,2692.77380952381,3960,1438.73129699006,452386,0.882110453457898,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,168,0,0,0,0
65,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,13,0.505789614981344,9.461,2004.15384615385,3960,1032.80353457259,26054,0.547924687533881,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,13,0,0,0,0
66,91,0.574519804306383,31.923,46.3736263736264,83,14.9388742336885,4220,0.891160932946163,254,0.805052401623861,58.098,53.8543307086614,138,31.9933052678423,13679,1.05749612298874,1611,0.870023318762231,159.134,2729.76908752328,3960,1484.29283747908,4397658,1.25089412927604,391,0.906676926885338,64.441,97.7979539641944,231,33.1894730902455,38239,0.84515802780632,91,47,254,91,254,1611,4,169,391,391
67,0,0,0,NaN,NaN,NaN,0,NaN,457,0.683731102250815,77.815,145.218818380744,349,77.4478335771485,66365,1.05438830327285,1425,0.787002267270177,142.818,2738.92210526316,4009,1443.81923939075,3902964,1.13904574387252,480,0.963494079056977,32.775,49.2645833333333,147,17.4295718471176,23647,0.178087853480368,0,0,457,0,281,1425,0,111,433,480
68,33,0.658625654881864,18.525,21.3333333333333,32,3.60266105353621,704,0.827546925263646,28,0.635603907532776,16.565,48.5,72,13.6883297144089,1358,0.779857018559557,354,0.699872932207622,65.988,1945.9604519774,4042,1585.33342615549,688870,0.978851488131003,22,0.813402208907765,15.457,31.1818181818182,49,7.18222915148324,686,0.864207177640367,33,0,28,33,0,354,0,0,20,22
69,75,0.344689399052711,27.986,46.7866666666667,72,11.1273868782719,3509,0.831018194020205,52,0.574767222661241,23.024,51.6346153846154,85,12.163959698036,2685,0.811238111788782,629,0.573648767457272,88.682,1672.7933227345,4024,1555.98948136988,1052187,0.994971058995703,33,0.621486218295136,18.269,32.0606060606061,45,5.41952139226446,1058,0.804832949113835,75,14,52,75,52,629,14,30,33,33
70,0,0,0,NaN,NaN,NaN,0,NaN,64,0.659356494327811,26.572,33.375,51,8.85240528698722,2136,0.877927493033962,202,0.611784095355928,48.695,998.60396039604,2020,581.210926325168,201718,0.934130402235656,88,0.771568314007108,32.179,45.7386363636364,90,13.53963472417,4025,0.936380910441438,0,0,64,0,58,202,0,30,88,88
71,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,184,0.706395892468119,46.437,1138.89673913043,2608,632.493715980116,209557,0.932611191779469,62,0.802381952122321,27.242,74.258064516129,105,11.2991157116219,4604,0.952525089196805,0,0,0,0,0,184,0,0,62,62
72,0,0,0,NaN,NaN,NaN,0,NaN,173,0.583477212704362,45.858,144.005780346821,274,62.9912781993193,24913,0.967329100017834,430,0.730067605447585,74.134,741.044186046512,2036,380.997201442362,318649,1.01708335696369,23,0.510647737670794,14.58,53.1304347826087,65,7.97327552074079,1222,0.735490974884347,0,0,173,0,172,430,0,0,23,23
73,0,0,0,NaN,NaN,NaN,0,NaN,120,0.517756561846722,38.663,117.216666666667,311,55.806265021826,14066,0.991288319484964,569,0.456010017282677,84.629,2109.42355008787,4024,1573.25215498877,1200262,1.00165067471323,45,0.840440564762481,22.652,28.3333333333333,40,4.96350316171589,1275,0.907383187409175,0,0,120,0,120,569,0,41,45,45
74,0,0,0,NaN,NaN,NaN,0,NaN,358,0.776069708315151,69.61,224.405027932961,416,79.4386868008496,80337,1.07708598983843,945,0.628514505144936,109.282,3034.93015873016,3993,1384.17331512475,2868009,1.00567023534075,45,0.763256851861766,22.445,40.4444444444444,60,7.27872227659484,1820,0.89087514333136,0,0,358,0,358,945,0,19,45,45
75,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,26,0.559629074027321,15.432,769.346153846154,1701,460.176656714153,20003,0.728888699812442,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,26,0,0,0,0
76,0,0,0,NaN,NaN,NaN,0,NaN,130,0.374335751476291,37.34,329.892307692308,589,150.249417760166,42886,0.85348405297084,289,0.491650373093324,58.007,1170.42906574394,3133,647.565662682622,338254,0.926516384383251,22,0.831973232048985,14.605,35.8636363636364,51,6.77738153219224,789,0.771561551591668,0,0,130,0,130,289,0,0,22,22
77,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,37,0.503440802839129,18.707,642.405405405405,1383,320.782849661008,23769,0.752656305574304,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,37,0,0,0,0
78,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,26,0.706764021858064,15.457,47.6153846153846,83,16.4245594719053,1238,0.731252227234157,0,0,0,0,0,0,0,0,0,26
79,0,0,0,NaN,NaN,NaN,0,NaN,50,0.521301886891574,22.933,33.7,53,9.53671744322105,1685,0.83703163807543,278,0.396977067962715,57.759,2452.81654676259,4023,1415.67727109624,681883,0.954958879227174,53,0.62616360833688,23.115,41.5660377358491,60,7.60948151969296,2203,0.80223584310086,0,0,50,0,50,278,0,18,53,53
80,0,0,0,NaN,NaN,NaN,0,NaN,323,0.661758963515666,63.647,197.625386996904,450,90.6555091600973,63833,0.998029755563534,1212,0.82006798048703,131.041,3153.52145214521,4024,1222.92091298141,3822068,1.12746200013951,754,0.860027334680502,77.898,60.025198938992,129,16.9557866275668,45259,0.640429612841274,0,0,323,0,315,1212,0,200,754,754
81,0,0,0,NaN,NaN,NaN,0,NaN,44,0.722244194884865,22.007,168.318181818182,265,50.622989872133,7406,0.875909317926612,299,0.732043849725077,61.249,1448.93311036789,3878,839.10034649255,433231,0.998428461324105,56,0.780799506746308,16.375,44.1428571428571,88,12.943834715526,2472,0.381034874218752,0,0,44,0,44,299,0,11,47,56
82,0,0,0,NaN,NaN,NaN,0,NaN,512,0.535211780017858,80.204,565.564453125,1141,163.518695395149,289569,0.999797926291759,1030,0.300179165455229,112.044,3481.56601941748,4009,1021.78770766922,3586013,0.969907060867873,906,0.245937422916836,106.28,165.683222958057,488,60.3695258547018,150109,0.992121885071749,0,0,512,0,512,1030,0,496,878,906
83,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,406,0.699904237934679,75.465,2892.07389162562,4025,989.991454986506,1174182,1.11623402149032,133,0.841320867126665,43.228,207.857142857143,510,99.885551390696,27645,1.11806944891587,0,0,0,0,0,406,0,0,131,133
84,0,0,0,NaN,NaN,NaN,0,NaN,415,0.713232783891475,71.719,376.522891566265,830,191.51398791341,156257,0.986303308921176,1471,0.766634940844171,142.156,3189.37593473827,3993,1230.63637846111,4691572,1.093220715941,1001,0.472832460076173,117.958,212.302697302697,1079,130.274576501777,212515,1.10614194034213,0,0,415,0,415,1471,0,415,979,1001
85,0,0,0,NaN,NaN,NaN,0,NaN,91,0.41119436885594,31.352,171.857142857143,266,46.2251906861211,15639,0.859566031447351,231,0.455060215456605,52.408,329.852813852814,684,155.980837670237,76196,0.946179052454994,0,0,0,NaN,NaN,NaN,0,NaN,0,0,91,0,91,231,0,0,0,0
86,0,0,0,NaN,NaN,NaN,0,NaN,144,0.95783087997732,21.13,861.833333333333,1620,265.554335108853,124104,0.246732658372729,215,0.848169734592081,54.575,264.493023255814,828,137.23320317584,56866,1.10239989912798,80,0.871399550202106,32.568,37.4125,55,6.42521486613089,2993,1.05507255888586,0,0,144,0,128,215,0,28,80,80
87,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,129,0.598643641304053,37.522,1481.90697674419,4021,1312.95902355293,191166,0.868505121744465,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,129,0,0,0,0
88,0,0,0,NaN,NaN,NaN,0,NaN,123,0.65372842176974,37.621,363.829268292683,669,135.992568945794,44751,0.915684146418937,309,0.519982224937422,59.992,1883.53721682848,4021,1222.37641770649,582013,0.926868958853352,204,0.493281977719227,48.86,69.3774509803922,126,17.3480647654417,14153,0.931251303875746,0,0,123,0,123,309,0,116,198,204
89,0,0,0,NaN,NaN,NaN,0,NaN,142,0.3121770813385,40.044,752.605633802817,1315,307.198574117242,106870,0.898621276305232,478,0.57338564089723,76.136,2604.910041841,4021,1375.77434581067,1245147,0.965033416330764,378,0.7441308141596,70.603,116.76455026455,254,29.2644597995057,44137,1.04940866615848,0,0,142,0,142,478,0,142,357,378
90,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,36,0.537306497934236,18.062,1584.30555555556,4021,1204.19817589357,57035,0.721139544254951,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,36,0,0,0,0
91,0,0,0,NaN,NaN,NaN,0,NaN,144,0.536116269260879,40.441,568.888888888889,1066,236.286157883081,81920,0.90379808316598,656,0.621861763881302,91.874,3036.87804878049,4022,1347.97731890442,1992192,1.02393301590933,416,0.820335621270115,74.638,69.0120192307692,137,16.1779963541028,28709,1.06565540598844,0,0,144,0,144,656,0,144,416,416
92,0,0,0,NaN,NaN,NaN,0,NaN,142,0.563183226957906,40.408,266.316901408451,672,114.498311779081,37817,0.915032464288728,516,0.705009664525599,80.808,2671.83527131783,4018,1320.65111993242,1378667,1.00704563310447,375,0.717693717335313,69.817,56.1626666666667,121,16.6809537337889,21061,1.03438266859755,0,0,142,0,142,516,0,142,364,375
93,0,0,0,NaN,NaN,NaN,0,NaN,75,0.552577370793879,28.441,39.5333333333333,63,8.85519138214496,2965,0.858259456474206,275,0.534474079415593,55.89,2775.01454545455,4001,1248.8240131604,763129,0.903910978931097,87,0.403771780169077,31.443,30.2298850574713,46,6.75088478167653,2630,0.904313126302875,0,0,75,0,75,275,0,59,87,87
94,0,0,0,NaN,NaN,NaN,0,NaN,131,0.680346963953969,39.3,696.748091603053,1441,280.439965974111,91274,0.938218389526723,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,131,0,0,0,0,0,0,0
95,0,0,0,NaN,NaN,NaN,0,NaN,215,0.596058849067734,49.894,768.027906976744,1441,299.640343856029,165126,0.92140024092536,593,0.597992733365331,84.414,3501.27150084317,3900,818.976476092267,2076254,0.956234486997443,211,0.864138130503688,20.51,49.4739336492891,89,11.2445979908812,10439,0.158649607290358,0,0,215,0,215,593,0,67,206,211
96,0,0,0,NaN,NaN,NaN,0,NaN,302,0.927985496641898,52.681,611.771523178808,1333,325.335968616157,184755,0.731292658386736,889,0.90819742953871,99.358,3436.37007874016,3996,996.654123978043,3054933,0.883678028213677,117,0.726183319979503,38.638,51.6153846153846,83,12.3489816373702,6039,1.01539156311963,0,0,302,0,222,889,0,4,112,117
97,0,0,0,NaN,NaN,NaN,0,NaN,180,0.652663528444691,46.71,554.616666666667,1109,239.259478484537,99831,0.964578029088961,390,0.657805224966519,49.199,3464.08461538462,3959,794.774563771208,1350993,0.493898924049641,0,0,0,NaN,NaN,NaN,0,NaN,0,0,180,0,165,390,0,0,0,0
98,0,0,0,NaN,NaN,NaN,0,NaN,192,0.363376911775939,46.148,556.302083333333,929,224.246667653618,106810,0.882662498482977,302,0.606481434092226,60.662,3239.35761589404,3959,702.927257138922,978286,0.969653663094245,327,0.165205959757753,63.672,61.5412844036697,97,12.2881049596193,20124,0.986596037154481,0,0,192,0,183,302,0,181,287,327
